cpu_usage_pct,sufficient_cpu
97.57,1
91.26,1
96.7,1
0.066666667,0
0.133333333,0
0.066666667,0
95.368,1
0.1,0
99.3,1
66.457,0
62.769,0
56.326,0
0.1,0
0.3,0
44.32,0
43.785,0
34.6,0
90.8,1
81.437,1
84.5439,1
96.32,1
2.5,0
3.133333333,0
2.9,0
98.432,1
82.345,1
77.437,1
76.216,1
95.489,1
14.03333333,0
5.366666667,0
0.033333333,0
0.333333333,0
81.478,1
0.066666667,0
77.538,1
76.5,1
97.43,1
63.563,0
91.237,1
0.1,0
3.633333333,0
2.233333333,0
10.1,0
75.6,1
93.5,1
81.548,1
99.482,1
23.435,0
25.7,0
3.5,0
6.033333333,0
1.1,0
4.5,0
75.658,1
99.2,1
81.23,1
85.7,1
77.423,1
92.5,1
75.6,1
0.333333333,0
99.687,1
98.2,1
77.682,1
5.833333333,0
1.4,0
96.453,1
78.9,1
89.385,1
0.291666667,0
0.033333333,0
76.548,1
80.541,1
0.1,0
4.366666667,0
90.568,1
85.275,1
79.3,1
82.6,1
0.233333333,0
0.1,0
3.033333333,0
84.768,1
0.1,0
88.759,1
86.5,1
83.672,1
76.327,1
0.266666667,0
0.033333333,0
45.762,0
67.9,0
56.34,0
77.452,1
94.6,1
97.439,1
80.582,1
99.438,1
0.2,0
90.532,1
93.743,1
9.433333333,0
15,0
22.73333333,0
34.6,0
33.6,0
33.33333333,0
17.43333333,0
12.06666667,0
11.83333333,0
11.4,0
9.633333333,0
